date,panigale_demand(*100 units),new_model_launch_flag,model_refresh_intensity,limited_edition_allocation_index,dealer_inventory_index,delivery_lead_time_weeks,waitlist_backlog_index,avg_transaction_price_eur,financing_rate_pct,luxury_consumer_sentiment_index,global_ducati_backdrop_index,trackday_seasonality_index,marketing_spend_index,search_interest_index,social_buzz_index,superbike_racing_momentum_index,motogp_visibility_index,competitor_pressure_index,used_bike_price_index,supply_constraint_index,euro_usd_index,luxury_market_volatility_index,regulatory_emissions_pressure_index
01-01-2015,340,0,0.25,0,68,4.5,30,20638.84,2.2,99.71,102.63,20,48.42,57.61,58.85,41.58,38.12,39.49,94.76,0.104,104.47,23.35,18.63
01-02-2015,404,0,0.177,0,85.06,2.02,23.83,20695.43,2.26,102.33,99.52,31.62,53.14,61.29,51.37,48.09,46.13,38.27,92.93,0.108,102.62,24.65,18.64
01-03-2015,398,0,0.062,0,85.44,2,18.51,20581.99,2.32,98.41,101.95,44.43,55.93,63.04,61.14,45.88,48.91,39.56,96.47,0.126,103.24,26.55,21.41
01-04-2015,448,0,0.011,0,81.23,2,12.66,21034.68,2.37,106.32,102.16,55,54.6,61.56,54.29,47.42,52.94,40.69,93.56,0.117,103.45,26.26,20.85
01-05-2015,545,0,0.001,0,75.71,2.07,11.43,21191.4,2.42,105.06,101.69,65.57,53.73,70.68,61.5,47.93,57.25,46.59,96.58,0.141,102.77,29.21,22.4
01-06-2015,598,0,0,0,77.86,2,8.46,21212.24,2.45,102.88,101.52,78.38,54.72,64.53,57.43,50.69,54.81,44.83,97.66,0.122,104.02,29.32,18.83
01-07-2015,683,0,0,0,67.19,2,5.61,21517.42,2.47,102.13,101.66,90,55.24,67.73,63.25,58.24,58.32,43.79,96.75,0.112,104.09,26.12,20
01-08-2015,673,0,0,0,71.14,2,5.87,21317.51,2.48,102.66,105.49,92.24,50.26,65.54,61.16,53.32,52.53,50.68,96.09,0.131,103.64,28.78,21.98
01-09-2015,596,0,0,0,79.45,2,6.53,21437.59,2.48,104.84,103.3,79.43,47.61,57.34,57.37,54.49,50.91,54.88,99.97,0.135,102.36,30.18,22.74
01-10-2015,535,0,0,0,76.68,2,3.97,21200.46,2.46,104.3,104.53,55,42.5,57.88,43.69,59.49,46.7,54.84,97.97,0.108,104.93,26.86,23.54
01-11-2015,462,0,0,0,85.57,2,2.38,21810.34,2.44,107.36,106.58,30.57,40.67,55.61,48.58,53.85,39.99,53.2,96.72,0.108,103.47,26.69,23.01
01-12-2015,425,0,0,0,87.37,2,0.68,21765.08,2.41,104.13,102.9,17.76,40.39,55.03,48.46,62.2,42.43,52.15,98.53,0.102,104.78,25.7,23.28
01-01-2016,477,0,0,0,83.12,2,3.47,21484.62,2.38,106.14,109.08,20,48.15,47.19,43.17,62.82,43.23,56.14,99.37,0.137,101.62,24.97,22.89
01-02-2016,508,0,0,0,82.57,2,4.8,21499.34,2.35,104.58,103.95,31.62,47.24,57.11,45.41,62.77,45.63,56.55,101.7,0.133,102.59,22.39,25.55
01-03-2016,509,0,0,0,85.59,2,4.59,21657.63,2.32,105,108.13,44.43,51.17,66.22,44.81,67.76,49.47,54.86,101.75,0.124,101.98,22.01,22.6
01-04-2016,535,0,0,0,77.59,2,6.49,21931.99,2.3,103.33,108.44,55,59.5,63.43,41.09,67.57,53.61,57.92,102.11,0.142,100.63,23.23,24.63
01-05-2016,565,0,0,0,78.38,2,7.45,21757.85,2.28,105.17,109.39,65.57,55,71.6,40.25,63.57,58.64,60.14,100.72,0.14,101.49,24.53,23.29
01-06-2016,659,0,0,0,72.41,2,6.84,21673.38,2.28,104.62,108.4,78.38,65.04,75.47,46.99,66.76,59.31,55.61,99.08,0.129,99.52,20.59,25.4
01-07-2016,670,0,0,0,75.7,2,8.02,21635.02,2.29,103.32,111.82,90,54.74,64.68,59.61,61.13,57.16,54.22,100.16,0.143,99.05,19.91,23.8
01-08-2016,778,0,0,0,65.74,2,5.1,21621.71,2.31,102.99,108.59,92.24,51.04,70.04,50.57,68.73,51,50.31,101.4,0.11,96.06,22.95,26.21
01-09-2016,702,0,0,0,73.48,2,2.78,21476.7,2.34,98.38,109.78,79.43,43.08,62.1,44.96,68.03,51.49,53.77,99.74,0.106,98.69,18.44,25.73
01-10-2016,644,0,0,0,73.98,2,2.22,21593.82,2.39,100.81,106.46,55,41.27,58.65,56.89,64.38,48.11,48.75,98.49,0.113,96.84,17.51,27.97
01-11-2016,667,0,0.001,0,69.52,2,0.73,21623.45,2.44,102.38,107.52,30.57,39.74,50.43,56.89,66.5,48.77,45.82,96.08,0.103,97.05,18.86,25.82
01-12-2016,614,0,0.004,0,75.73,2,2.5,21920.5,2.5,99.75,109.5,17.76,40.66,52.3,60.01,60.51,45.13,45.45,96.47,0.127,96.29,19.4,26.95
01-01-2017,554,0,0.013,0,74.72,2,6.08,21811.77,2.56,95.25,105.97,20,47.63,48.38,55.96,59.71,39.77,44.67,94.21,0.147,96.49,18.25,25.78
01-02-2017,612,0,0.033,0,73.15,2,3.98,21745.04,2.62,97.06,106.15,31.62,49.25,50.71,57.47,61.45,47.17,42.45,94.76,0.102,96.86,21.31,26.65
01-03-2017,560,0,0.076,0,80.51,2,4.41,22298.39,2.68,97.54,106.89,44.43,58.92,65.23,63.82,56.92,55.11,43.55,90.75,0.106,96.29,23.69,27.41
01-04-2017,543,0,0.154,0,80.94,2,8.83,21887.78,2.73,94.2,103.32,55,68.55,76.77,54.55,56.71,56.61,40.79,90.35,0.123,96.69,21.18,25.73
01-05-2017,623,0,0.275,0.004,75.78,2.4,17.85,22259.57,2.78,92.27,100.23,65.57,63.12,78.49,52.07,53.75,59.01,38.73,92.07,0.147,97.04,24.13,26.14
01-06-2017,731,0,0.435,0.031,77.13,2.4,24.86,22424.52,2.81,94.56,103.63,78.38,66.55,83.57,50.93,52.53,61.46,40.04,90.44,0.116,95.71,25.48,28.84
01-07-2017,805,0,0.614,0.138,66.31,3.35,35.62,22019.09,2.83,93.27,104.14,90,68.76,88.73,55.27,51.21,57.16,40.5,91.02,0.125,95.65,25.61,28.22
01-08-2017,908,0,0.779,0.335,67.74,3.51,44.69,22399.11,2.84,94.98,99.42,92.24,74.48,91.7,64.53,49.15,56.77,37.28,89.65,0.102,96.9,26.77,27.97
01-09-2017,1030,1,0.902,0.45,52.45,6.03,54.59,22431.94,2.84,91.04,102.1,79.43,68.24,94.01,75.3,50.71,51.29,43.93,89.94,0.107,97.13,27.42,28.08
01-10-2017,797,0,0.974,0.335,62.28,5.13,67.49,22555.17,2.82,96.54,101.36,55,62.27,90.62,58.66,47.71,47.92,42.57,90.67,0.149,97.12,26.38,28.4
01-11-2017,696,0,1,0.138,70.2,5.23,76.15,22882.95,2.8,93.76,95.59,30.57,57.27,81.34,43.75,48.97,46.97,45.06,88.89,0.148,96.05,30.15,29.66
01-12-2017,609,0,1,0.031,77.99,4.55,76.24,22842.2,2.77,98.16,97.14,17.76,60.5,82.6,47.58,47.09,42.16,50.32,88.41,0.1,97.48,29.87,30.33
01-01-2018,504,0,0.974,0.004,79.74,5.1,80.73,23012.64,2.74,95.4,97.35,20,61.75,80.24,43.49,45.39,48.23,53.78,91.52,0.148,97.61,29.68,27.57
01-02-2018,720,1,0.902,0,71.16,6.71,79.64,24615.24,2.71,96.54,97.03,31.62,72.28,85.08,71.69,52.17,47.51,54.34,90.07,0.132,98.79,29.12,32.06
01-03-2018,726,0,0.779,0,74.65,5.05,76.53,24730.17,2.68,96.75,95.43,44.43,73.84,87.58,63.24,52.13,53.13,61.39,90.06,0.143,97.95,24.76,32.25
01-04-2018,726,0,0.615,0,66.41,4.75,67.41,24745.23,2.65,96.11,94.74,55,65.77,81.77,60.83,57.94,53.6,61.79,91.48,0.123,97.55,27.88,28.12
01-05-2018,747,0,0.439,0,72.56,4.09,56.82,25196.6,2.64,104.71,98.38,65.57,64.78,81.94,55.84,51.27,61.31,69.74,90.38,0.126,99.94,26.72,32.5
01-06-2018,819,0,0.287,0,63.66,3.88,45.54,25364.48,2.63,98.01,94.86,78.38,63.19,76.07,65.8,55.35,64.1,65.7,90.51,0.125,97.85,22.59,32.75
01-07-2018,827,0,0.187,0,58.49,3.73,36.52,25368.69,2.64,102.56,93.43,90,62.05,74.9,59.5,57.88,58.84,68.76,91.02,0.134,99.82,23.68,31.76
01-08-2018,841,0,0.151,0,68.19,2.74,26.99,25358.61,2.65,98.01,94.16,92.24,52.9,67.07,53.89,63.31,54.72,66.19,92.55,0.107,100.1,23.53,30.48
01-09-2018,762,0,0.185,0,71.5,2.33,21.53,25398.33,2.68,102.4,94.84,79.43,46.9,61.31,52.89,62.49,53.89,71.6,95.75,0.102,100.58,24.77,33.54
01-10-2018,770,0,0.283,0.006,62.98,2.81,22.67,25477.42,2.71,103.36,93.78,55,47.21,64.57,54.68,63.95,52.6,62.15,94.23,0.117,101.27,22.61,32.31
01-11-2018,730,0,0.427,0.045,69.78,3.08,29.99,26032.34,2.75,102.74,93.18,30.57,47.48,61.09,54.62,73.07,43.4,63.82,97.41,0.138,103.28,19.6,33.54
01-12-2018,772,0,0.582,0.199,74.33,3.02,36.63,25856.92,2.8,101.93,92.34,17.76,57.48,74.45,57.7,72.33,43.21,58.68,99.19,0.114,103.36,22.99,35.82
01-01-2019,906,0,0.704,0.484,61.23,4.18,47.33,25611.29,2.84,103.17,92.3,20,63.3,81.24,57.21,78.05,45.83,57.15,99.44,0.141,102.86,20.27,33.74
01-02-2019,1113,1,0.75,0.65,53.57,6.58,57.49,26599.07,2.87,103.15,92.47,31.62,71.72,98.55,85.86,79.95,48.08,56.62,102.23,0.16,104.27,19.79,32.62
01-03-2019,1156,0,0.704,0.484,49.48,4.95,58.4,26531.25,2.9,110.32,94.17,44.43,77.91,100,62.95,79.45,52.2,56.1,98.75,0.124,102.76,19.92,33.6
01-04-2019,1009,0,0.581,0.199,65.55,4.78,59.67,26690.41,2.92,104.19,92.05,55,68.94,88.57,51.46,79.8,53.51,54.84,102.32,0.164,102.85,18.47,33.33
01-05-2019,946,0,0.424,0.045,55.06,5.03,56.16,26684.87,2.92,105.19,94.57,65.57,62.97,88.61,55.43,79.2,62.47,45.83,103.27,0.168,104.62,21.51,35.08
01-06-2019,901,0,0.275,0.006,59.11,5.16,54.17,26767.52,2.91,107.58,96.42,78.38,63.11,86.61,45.23,79.42,63.11,47.83,104.28,0.21,104.46,23.47,33.87
01-07-2019,923,0,0.165,0,59.2,4.86,48.91,26451.91,2.88,99.71,94.58,90,56.39,81.31,42.96,80.4,57.67,48.6,102.07,0.203,103.62,23.47,34.55
