Date,Macro_Health,Social_Hype,Price_Index,Competitor_Release,Ducati_Demand(*1000 units)
04-01-2015,85.22495368,0,20463.05756,0,0
11-01-2015,118.9616053,-4.85,19870.10933,0,0
18-01-2015,87.56912547,-6.35,20355.87429,0,0
25-01-2015,79.73568795,-3.46,20229.67722,0,0
01-02-2015,95.97686544,3.8,20066.60136,0,30.83
08-02-2015,101.4177443,2.42,20080.85261,0,50.23
15-02-2015,80.66862238,-6.97,19837.50839,0,33.93
22-02-2015,100.9091379,-2.1,20269.75012,0,12.02
01-03-2015,99.54859887,-1.58,20575.49238,0,50.98
08-03-2015,111.096823,-2.15,20055.62766,0,57.21
15-03-2015,90.17837297,-1.23,19925.47707,0,49.59
22-03-2015,120.0698562,2.13,20095.81407,0,36.26
29-03-2015,120.9725786,0.37,19911.13421,0,55.12
05-04-2015,110.5734406,7.09,19821.66741,0,54.05
12-04-2015,122.6109145,-1.18,20433.66407,1,60.79
19-04-2015,124.0616901,1.57,20444.90798,0,30.67
26-04-2015,102.43021,1.79,20017.54672,0,36.15
03-05-2015,107.8195562,2.55,19853.62878,0,43.55
10-05-2015,106.8682469,0.99,19687.63635,0,48.99
17-05-2015,111.1599353,-2.1,19825.66727,0,66.81
24-05-2015,88.6542649,6.9,19993.05757,0,69.19
31-05-2015,116.8537373,6.69,20180.18121,0,78.11
07-06-2015,103.6925215,10.2,19792.22774,0,83.02
14-06-2015,106.6347562,-1.9,19885.80585,0,92.45
21-06-2015,125.7001666,-2.62,19937.55426,0,80.63
28-06-2015,105.473326,-2.08,19916.85942,0,73.41
05-07-2015,109.2918113,-3.01,17981.68501,0,73.52
12-07-2015,122.4345391,-0.01,18379.49263,0,67.22
19-07-2015,127.7111965,-0.6,18612.21696,0,75.53
26-07-2015,111.595845,190.15,18383.15799,0,79.02
02-08-2015,113.027208,113.56,18159.92629,0,362.76
09-08-2015,109.2461269,72,18589.62923,0,242.52
16-08-2015,101.4366833,47.49,18939.33773,0,170.06
23-08-2015,102.9266216,32.41,18690.75124,0,142.89
30-08-2015,136.264853,15.22,18566.52673,0,115.51
06-09-2015,98.30985357,2.88,20078.42436,0,67.97
13-09-2015,108.8444352,5.37,20123.99724,0,58.82
20-09-2015,106.2665066,5.3,19924.61616,0,49.03
27-09-2015,122.5047394,2.52,20401.53937,0,62.47
04-10-2015,94.94669835,4.43,20187.39888,0,55.29
11-10-2015,112.6497712,1.02,20003.22434,0,50.72
18-10-2015,119.4042938,-0.55,20176.19785,0,48.6
25-10-2015,132.6351692,-4.19,20086.23184,0,33.65
01-11-2015,111.7065011,-1.17,20053.97911,0,25.92
08-11-2015,115.6463711,-2.26,20024.53839,0,32.17
15-11-2015,128.2618428,-2.26,19983.39537,0,22.52
22-11-2015,114.1764089,4.03,19972.2896,0,30.43
29-11-2015,104.4067784,4.76,20440.25473,0,38.03
06-12-2015,88.2572827,9.2,19348.23928,0,37.69
13-12-2015,134.2327451,6.89,20248.27044,0,30.56
20-12-2015,130.7392556,1.45,20142.37089,0,45.54
27-12-2015,104.0046732,5.11,19583.73966,0,30.78
03-01-2016,104.8773156,0.87,20791.70727,0,35.07
10-01-2016,114.6332537,-9.29,20257.58743,0,28.91
17-01-2016,124.719391,-8.94,20164.31037,0,14.1
24-01-2016,100.6244705,-3.91,21077.21118,0,8.31
31-01-2016,105.378432,10.74,20754.98628,0,32
07-02-2016,130.3595476,15.2,20304.93529,0,61.32
14-02-2016,122.9346509,18.2,21142.99238,0,68.55
21-02-2016,117.1981505,10.99,20352.36306,1,76.9
28-02-2016,125.4779995,4.07,20920.85012,0,25.5
06-03-2016,124.7891702,5.96,20292.96042,0,12.86
13-03-2016,126.0102284,5.13,20342.13371,0,33.97
20-03-2016,108.5911807,1.05,20715.69589,0,32.42
27-03-2016,79.68920433,5.48,20110.34009,0,64.01
03-04-2016,124.5253494,0.5,20356.3533,0,79.38
10-04-2016,124.5431781,-1.76,20608.73866,0,64.32
17-04-2016,127.4845293,-4.94,20795.13997,0,58.7
24-04-2016,107.7040434,-1.57,20530.95743,0,63.13
01-05-2016,139.5728788,0.06,20298.46837,0,48.06
08-05-2016,121.5409826,-8.34,20656.67074,0,73.68
15-05-2016,132.548538,-1.17,20714.24765,0,66.7
22-05-2016,124.0125791,-2.82,20875.37005,0,68.92
29-05-2016,129.2519252,0.22,20273.4663,0,64.37
05-06-2016,114.8371096,5.17,20472.86043,0,77.69
12-06-2016,144.8282844,4.26,20577.94988,0,93.55
19-06-2016,121.8721216,4.63,20465.86547,0,85
26-06-2016,129.7410729,4.15,19859.22608,1,76.52
03-07-2016,107.2742934,6.14,19214.06655,0,57.61
10-07-2016,141.3566124,-0.82,19395.41315,0,62.15
17-07-2016,119.305991,-4.12,18449.11453,0,33.96
24-07-2016,121.0148965,-8.08,18987.32066,0,57.86
31-07-2016,82.46029386,-3.67,18220.80201,0,59.53
07-08-2016,116.3241067,0.56,18835.62706,0,64.58
14-08-2016,136.4661404,-6.25,18390.45207,0,69.16
21-08-2016,133.1870684,1.01,19251.18553,0,47.54
28-08-2016,141.7011445,3.75,19281.08492,0,60.41
04-09-2016,113.2684226,7.25,21137.37951,0,56.16
11-09-2016,105.0231114,6.3,20359.87714,0,45.91
18-09-2016,108.0012589,3.88,20719.29427,0,66.02
25-09-2016,129.0380228,-3.58,20662.86511,0,40.65
02-10-2016,118.1382527,2.74,20517.98694,0,32.25
09-10-2016,102.7309915,-0.8,20743.9302,0,36.24
16-10-2016,128.0499571,5.41,20393.42601,0,40.93
23-10-2016,119.6808311,12.11,20398.96972,0,27.98
30-10-2016,125.5181498,154.8,20445.76843,0,42.37
06-11-2016,128.5281618,84.72,20911.50163,0,255.77
13-11-2016,136.3026482,48.02,20491.80159,0,159.58
20-11-2016,95.9261827,37.11,20530.22056,0,102.16
27-11-2016,100.3459444,19.37,20805.99545,0,92.42
04-12-2016,133.4818973,22.3,19753.2102,0,54.92
11-12-2016,127.2160985,10.69,20495.68825,0,58.31
18-12-2016,124.0453399,3.8,20743.21954,0,32.47
25-12-2016,138.1054818,-2.1,20733.41471,0,28.92
01-01-2017,125.2315134,-2.31,20552.20292,0,25.04
08-01-2017,108.8846397,-4.33,20432.80308,0,8.44
15-01-2017,114.6222511,5.49,20738.30499,0,14.73
22-01-2017,125.0303428,11.72,21345.76778,0,40.29
29-01-2017,80.08594695,5.92,21487.52683,0,47.37
05-02-2017,132.074564,4.72,20333.09333,0,44.35
12-02-2017,103.0377411,0.3,21088.37643,0,39.72
19-02-2017,116.2061632,-1.09,20755.65299,0,24.01
26-02-2017,109.1407081,-1.05,20235.37657,0,18.47
05-03-2017,125.6981651,0.39,21334.33585,0,45.98
12-03-2017,121.1097327,-5.16,21242.64935,0,62.49
19-03-2017,115.7731379,4.28,20775.70846,0,42.55
26-03-2017,94.63305802,6.18,20772.29196,0,64.6
02-04-2017,84.03795386,10.63,21351.51672,0,62.35
09-04-2017,120.8232104,3.98,20907.48713,0,80.71
16-04-2017,116.5659729,2.55,20998.89053,0,62.84
23-04-2017,92.45362456,-6.21,21402.9674,0,60.39
30-04-2017,131.8819588,-11.06,20729.54787,0,59.14
07-05-2017,99.54609898,2.81,21451.78747,0,54.1
14-05-2017,129.0810428,5.78,20980.92533,0,64.79
21-05-2017,90.68849223,7.42,20998.06274,0,81.11
28-05-2017,93.9016299,1.67,21450.52218,0,77.05
04-06-2017,108.3814026,-3.32,21112.76912,0,65.95
11-06-2017,104.8483364,-1.62,20743.83189,0,62.05
18-06-2017,104.5889717,4.82,20876.84099,0,88.94
25-06-2017,124.7756016,0.22,20850.23347,0,91.93
02-07-2017,95.17154675,1.87,19905.90418,0,55.58
09-07-2017,107.9307546,-2.05,19330.89673,0,72.94
16-07-2017,92.88976524,4.06,19251.12457,0,67.66
23-07-2017,77.19024537,-8.02,19537.14773,0,70.33
30-07-2017,97.05215186,4.44,19312.2626,0,64.73
06-08-2017,86.77098201,7.44,19795.25198,0,75.14
13-08-2017,94.34185248,5.85,19191.47892,0,71.53
20-08-2017,77.89022259,-0.03,19024.68108,0,72.06
27-08-2017,96.8876225,0.37,19501.83735,0,65.1
